candidate,BUSH,rather,1
moderator,CAVUTO,then-senator,1
moderator,CAVUTO,taxes,7
candidate,CRUZ,i'm,1
moderator,CAVUTO,money,2
candidate,PAUL,allies,2
candidate,FIORINA,time,5
candidate,CRUZ,obamacare,1
moderator,CAVUTO,god,2
candidate,PAUL,mr,1
candidate,CARSON,deduction,1
candidate,FIORINA,battled,1
candidate,FIORINA,several,1
candidate,FIORINA,fraud,1
candidate,BUSH,relying,1
candidate,BUSH,used,1
candidate,PAUL,mortgage,1
candidate,RUBIO,took,2
candidate,FIORINA,paul,1
candidate,BUSH,action,1
moderator,CAVUTO,inside,1
candidate,PAUL,penny,1
candidate,BUSH,gotta,1
moderator,BAKER,minute,1
candidate,FIORINA,class,1
candidate,UNKNOWN,back,2
candidate,KASICH,talking,3
candidate,BUSH,stuck,2
candidate,BUSH,support,2
moderator,BAKER,ryan,1
candidate,TRUMP,high,3
candidate,RUBIO,billions,1
moderator,BARTIROMO,relationship,1
candidate,CARSON,truth,1
candidate,KASICH,tested,1
candidate,CRUZ,embrace,1
candidate,CRUZ,ends,1
candidate,PAUL,interest,5
candidate,BUSH,state,1
candidate,CARSON,daughter,1
candidate,FIORINA,nation,7
candidate,TRUMP,well,6
candidate,PAUL,place,1
candidate,KASICH,many,2
candidate,FIORINA,bubble,1
candidate,TRUMP,syria,2
moderator,BARTIROMO,people,7
candidate,KASICH,able,1
moderator,BAKER,tonight,1
candidate,FIORINA,republicans,3
moderator,BARTIROMO,even,1
candidate,RUBIO,get,5
candidate,BUSH,bigger,1
candidate,RUBIO,despite,2
candidate,RUBIO,student,1
candidate,FIORINA,finally,2
candidate,CRUZ,changes,1
candidate,FIORINA,done,5
candidate,FIORINA,challenge,1
candidate,CRUZ,history,2
candidate,CARSON,land,2
candidate,TRUMP,hard,1
candidate,CRUZ,account,1
candidate,KASICH,make,8
candidate,TRUMP,dummies,1
candidate,BUSH,terms,1
moderator,BARTIROMO,health,1
candidate,CARSON,quite,1
moderator,BARTIROMO,first,3
moderator,BAKER,funded,1
moderator,BAKER,back,3
moderator,BAKER,standing,1
candidate,TRUMP,front,1
candidate,BUSH,internet,1
candidate,BUSH,destroy,1
moderator,BAKER,subjected,1
candidate,TRUMP,spoke,1
candidate,PAUL,send,2
candidate,TRUMP,stronger,1
candidate,CRUZ,built,1
candidate,KASICH,funding,2
candidate,KASICH,potentially,1
candidate,TRUMP,weapon,1
candidate,RUBIO,place,5
candidate,CRUZ,great,3
candidate,PAUL,planet's,1
moderator,CAVUTO,former,2
moderator,BARTIROMO,time,3
candidate,TRUMP,trying,1
candidate,PAUL,lay,1
moderator,BARTIROMO,small,2
moderator,BAKER,system,1
moderator,CAVUTO,questions,2
moderator,BARTIROMO,cruz,3
moderator,CAVUTO,sympathetic,1
candidate,KASICH,ph,2
candidate,CRUZ,billionaires,1
candidate,CARSON,entrepreneurial,1
candidate,CRUZ,workers,1
candidate,KASICH,money,4
candidate,CRUZ,coming,1
candidate,CRUZ,offensive,1
candidate,RUBIO,utilizing,1
candidate,KASICH,sea,1
candidate,CRUZ,answer,2
candidate,CRUZ,iran,1
candidate,KASICH,disaster,1
candidate,FIORINA,two,1
candidate,CARSON,tells,2
candidate,CRUZ,targeting,1
candidate,CRUZ,gotten,1
candidate,KASICH,border,5
candidate,CRUZ,rancher,1
candidate,TRUMP,ruling,1
candidate,TRUMP,moment,1
moderator,CAVUTO,ago,1
candidate,PAUL,several,1
moderator,BAKER,seeking,1
candidate,PAUL,we're,11
candidate,CRUZ,cartel,1
moderator,CAVUTO,looked,1
candidate,FIORINA,outcomes,1
candidate,RUBIO,limited,1
moderator,BARTIROMO,go,2
candidate,PAUL,president's,2
candidate,CRUZ,face,1
candidate,BUSH,region,2
candidate,KASICH,gain,1
candidate,PAUL,conservative,17
candidate,TRUMP,i've,4
candidate,BUSH,agreement,2
moderator,BARTIROMO,manufacturing,1
candidate,KASICH,fed,2
candidate,KASICH,connected,1
candidate,FIORINA,possible,2
moderator,CAVUTO,applies,1
candidate,PAUL,context,1
moderator,CAVUTO,several,1
moderator,BAKER,international,3
candidate,KASICH,purpose,1
candidate,FIORINA,example,1
candidate,KASICH,us,8
candidate,KASICH,people,23
candidate,TRUMP,russian,1
candidate,TRUMP,roadblocks,1
candidate,RUBIO,anywhere,2
candidate,FIORINA,problems,2
candidate,CRUZ,preparers,1
candidate,CRUZ,started,2
candidate,KASICH,bright,1
candidate,BUSH,recruit,1
candidate,CRUZ,rate,1
candidate,FIORINA,bad,1
candidate,TRUMP,upper,1
candidate,TRUMP,number,1
candidate,BUSH,apart,1
candidate,RUBIO,hillary,1
candidate,KASICH,life,3
candidate,CRUZ,trillion,2
candidate,FIORINA,community,1
candidate,FIORINA,game,1
moderator,CAVUTO,concerns,1
moderator,CAVUTO,cavuto,1
moderator,CAVUTO,many,1
candidate,PAUL,century,1
candidate,FIORINA,trying,1
candidate,PAUL,barely,1
candidate,BUSH,oklahoma,1
moderator,BARTIROMO,response,1
moderator,CAVUTO,washington,1
candidate,CRUZ,reagan,1
candidate,PAUL,court,1
candidate,PAUL,balancing,1
candidate,TRUMP,families,1
candidate,RUBIO,back,1
moderator,BAKER,allotted,1
candidate,RUBIO,feet,1
candidate,KASICH,last,1
moderator,CAVUTO,bartiromo,1
candidate,PAUL,vacuum,1
candidate,CRUZ,sort,1
candidate,TRUMP,never,1
candidate,BUSH,maria,1
candidate,CARSON,everything,1
candidate,BUSH,deductions,1
moderator,BARTIROMO,domestic,1
candidate,CARSON,vetted,1
candidate,BUSH,nice,1
candidate,CARSON,notice,2
moderator,CAVUTO,bring,2
candidate,RUBIO,truly,1
candidate,BUSH,closing,1
candidate,TRUMP,mean,2
moderator,BAKER,china,3
candidate,CRUZ,fancy,1
candidate,FIORINA,prices,1
candidate,FIORINA,third,1
candidate,RUBIO,rapid,1
candidate,FIORINA,ph,1
candidate,KASICH,underlay,1
candidate,FIORINA,plan,1
candidate,CRUZ,benefits,1
moderator,BAKER,retirement,1
candidate,BUSH,today,1
moderator,BAKER,post,1
candidate,FIORINA,room,1
moderator,BAKER,concerned,1
candidate,CRUZ,community,1
moderator,CAVUTO,words,4
candidate,RUBIO,vested,1
candidate,RUBIO,want,1
candidate,PAUL,clinton,1
moderator,BARTIROMO,production,1
candidate,CRUZ,washington,11
candidate,PAUL,involved,2
candidate,PAUL,disparity,1
moderator,BAKER,private,1
candidate,BUSH,power,2
moderator,BAKER,boosted,1
candidate,KASICH,work,7
moderator,CAVUTO,forget,1
moderator,BAKER,every,1
candidate,RUBIO,clinton,1
candidate,KASICH,house,2
candidate,TRUMP,particular,2
moderator,CAVUTO,look,2
candidate,BUSH,sector,1
candidate,FIORINA,entrepreneurship,3
candidate,RUBIO,hire,1
candidate,PAUL,assad,1
candidate,KASICH,saudi,1
candidate,PAUL,airspace,1
candidate,BUSH,hinted,1
moderator,BARTIROMO,cloud,1
candidate,PAUL,trillion-dollar,2
candidate,CARSON,made,2
moderator,BAKER,pointed,1
moderator,CAVUTO,isn't,1
candidate,PAUL,go,1
moderator,BAKER,debate,2
candidate,RUBIO,history,1
candidate,CRUZ,torture,1
candidate,KASICH,medicaid,1
candidate,KASICH,debate,1
candidate,PAUL,value,2
moderator,CAVUTO,no-fly,1
candidate,CRUZ,provide,1
candidate,PAUL,oh,2
candidate,TRUMP,hillary,1
moderator,BAKER,earned,1
moderator,BAKER,deal,7
candidate,CARSON,stock,1
candidate,CARSON,chinese,1
moderator,BARTIROMO,you've,1
moderator,BARTIROMO,special,1
candidate,TRUMP,borders,1
candidate,TRUMP,chunks,1
candidate,RUBIO,nominee,1
candidate,BUSH,best,2
candidate,KASICH,try,1
candidate,KASICH,invested,1
candidate,RUBIO,trillion,1
candidate,FIORINA,republican,2
moderator,BARTIROMO,ground,1
candidate,BUSH,hard,1
candidate,PAUL,home,1
candidate,FIORINA,regulators,1
candidate,TRUMP,bring,2
moderator,BARTIROMO,biggest,2
candidate,RUBIO,institutions,1
candidate,PAUL,states,1
candidate,CRUZ,driving,1
candidate,CARSON,youngster,1
candidate,FIORINA,hold,2
moderator,BAKER,done,1
candidate,CARSON,factions,1
candidate,PAUL,every,1
moderator,CAVUTO,i'll,1
candidate,CRUZ,agencies,1
candidate,CARSON,say,6
